sentence,currency,sentiment
*ECB SEES RATES AT PRESENT LEVEL WELL PAST END OF NET PURCHASES,EUR,0
*ECB: QE TO RUN UNTIL INFLATION PATH HAS SUSTAINABLY ADJUSTED,EUR,0
*ECB SEES INTEREST RATES AT PRESENT LEVEL FOR EXTENDED PERIOD,EUR,0
"*ECB: QE CAN BE INCREASED IN SIZE, DURATION IF OUTLOOK WORSENS",EUR,0
*ECB WILL REINVEST FOR EXTENDED PERIOD AFTER NET BUYING ENDS,EUR,0
*ECB WILL REINVEST MATURING DEBT FOR AS LONG AS NECESSARY,EUR,0
*ECB SAYS REINVESTMENTS WILL HELP DELIVER APPROPRIATE STANCE,EUR,0
Europe's Markets in Stasis Before ECB Press Conference,EUR,0
ECB Keeps Policy Unchanged as Euro Gains Risk Curbing Inflation,EUR,0
"ECB Keeps Rates Unchanged, to Remove Stimulus Slowly: TOPLive",EUR,0
U.S. ETFs Inflow $1.3B to International Market on Jan. 24,USD,0
U.S. ETFs Inflow $4.4B to Total Asset Class on Jan. 24,USD,0
U.S. ETFs Inflow $299.1M to Financial Sector Jan. 24,USD,0
International Funds Lead Net Inflows Among U.S. ETFs,USD,0
ECB Keeps Policy Unchanged as Euro Gains Risk Curbing Inflation,EUR,0
"Market Focus on Any Draghi Comments on Euro, ECB Minutes: SocGen",EUR,0
Euro's Momentum Is Becoming a Proper Macro Theme: Markets Live,EUR,0
*SNB'S JORDAN SAYS U.S. ECONOMIC SITUATION GOOD: SRF,USD,0
Europe Points to Tech Comeback After One-Day Blip,EUR,0
*ITALIAN FINANCE MINISTER PIER CARLO PADOAN SPEAKS IN DAVOS,EUR,0
*PADOAN: U.S. TRADE CURBS WOULD BE MORE DAMAGING THAN WEAK USD,USD,0
"*PADOAN: WORRIED ABOUT U.S. MOVES TO LIMIT TRADE, CAPITAL FLOWS",USD,0
Follow Draghi Briefing After ECB Leaves Rates Unchanged: TOPLive,EUR,0
*U.S. CONTINUING JOBLESS CLAIMS AT 1.937MLN TWO WEEKS AGO,USD,0
"*U.S. INITIAL JOBLESS CLAIMS AT 233,000 LAST WEEK",USD,0
Canada Retail Sales Rise 0.2% in Nov. on Higher Gasoline Prices,CAD,0
"*U.S. WEEKLY JOBLESS CLAIMS AT 233,000 LAST WEEK; EST. 235,000",USD,0
MARIO DRAGHI PRESIDES AT ECB NEWS CONFERENCE IN FRANKFURT: LIVE,EUR,0
*DRAGHI: QE TO RUN UNTIL ECB SEES SUSTAINED INFLATION ADJUSTMENT,EUR,0
*PORTUGAL'S CENTENO SAYS GOVERNMENT IS MEETING BUDGET TARGETS,EUR,0
*PORTUGAL FINANCE MINISTER SPEAKS AT PRESS CONFERENCE IN LISBON,EUR,0
*DRAGHI: STRONG MOMENTUM BOOSTS CONFIDENCE IN INFLATION PICK-UP,EUR,60
*DRAGHI: CONVINCING SIGNS OF SUSTAINED INFLATION PICK-UP NEEDED,EUR,0
"Draghi Mentions Exchange Rate, Euro Pops Higher",EUR,60
Draghi On FX Volatility,EUR,0
*DRAGHI SAYS RISKS TO EURO-AREA GROWTH OUTLOOK BROADLY BALANCED,EUR,0
*DRAGHI: STRONG MOMENTUM COULD LEAD TO POSITIVE GROWTH SURPRISES,EUR,60
Euro Unimpressed by Draghi Warning on Volatility: Markets Live,EUR,0
Draghi Warns Euro Volatility Is Creating Uncertainty: TOPLive,EUR,0
*DRAGHI: ECB MEASURES SUPPORT BORROWING CONDITIONS SIGNIFICANTLY,EUR,0
Draghi Reinstates Warning Euro Volatility Creates Uncertainty,EUR,0
*DRAGHI SAYS STOCK IS ONLY RELEVANT METRIC TO ASSESS QE PROGRAM,EUR,0
Nothing (So Far) from Draghi to Stop Euro Rise,EUR,0
Draghi: Headline Inflation Likely to Hover Around Current Rates,EUR,0
*DRAGHI: SOME OFFICIALS SURPRISED ABOUT REACTION TO DEC. ACCOUNT,EUR,0
"*DRAGHI SAYS ECB HASN'T DISCUSSED LINK BETWEEN INFLATION, QE",EUR,0
Bunds Reverse Gains as Draghi Sees Scope for Positive Surprises,EUR,0
Draghi Says Inflation Confidence Has Improved But Euro a Concern,EUR,0
*DRAGHI: COMMITMENT TO REACH INFLATION GOAL STRONGER THAN EVER,EUR,0
*DRAGHI: POLICY TO REMAIN ACCOMMODATIVE EVEN AS INFLATION GAINS,EUR,-60
*DRAGHI: EXCHANGE-RATE VOLATILITY HAS INCREASED IN PAST MONTH,EUR,0
*DRAGHI: ECB NOTED MARKET SENSITIVITY TOWARD GUIDANCE CHANGES,EUR,0
Draghi: Some Officials Surprised About Reaction to Dec. Account,EUR,0
Belgian Business Confidence Climbs to Highest in Almost 7 Years,EUR,0
Bunds Drop as Draghi Avoids Strong Anti-Euro Stance: TD Bank,EUR,0
*DRAGHI SAYS TO RESPOND IN DUE TIME ON G-30 OMBUDSMAN COMPLAINT,EUR,0
*FX TRADING ROSE TO $944.3 BLN IN OCT. IN N. AMERICA: N.Y. FED,USD,0
*DRAGHI SAYS GERMAN LABOR MARKET EXPERIENCING TIGHT CONDITIONS,EUR,0
"Equities Should Look More at Draghi Comments, Less at Euro",EUR,0
FX Trading Rose to $944.3 Bln in Oct. in N. America: N.Y. Fed,USD,0
"*U.K. AVG DAILY FX TURNOVER FALLS 4% IN OCT. VS APRIL, BOE SAYS",GBP,0
More Draghi On FX,EUR,0
*DRAGHI: ECB `IN RANGE OF NORMAL DIFFERENCES OF VIEWS' ON POLICY,EUR,0
Draghi Sees Very Few Chances of Rate Increase This Year: TOPLive,EUR,-60
*EUR DROPS BELOW 1.25; DRAGHI SEES LITTLE CHANCE OF HIKE THIS YR,EUR,-60
Who's Worried About Currency War? Not Mario Draghi: Markets Live,EUR,0
"MAJOR TECHS: EUR Rally Stalls, Forms Double Top Below 1.2300",EUR,-60
MAJOR TECHS: Thin Cloud Suggests JPY Trend Is Undefined,JPY,0
MAJOR TECHS: JPY Pattern Suggests a Drop After Consolidation,JPY,-60
MAJOR TECHS: JPY Extends Gain; Long-Term Trend Remains Undefined,JPY,0
"MAJOR TECHS: EUR Rally Fails, Potential to Retrace Toward 1.1705",EUR,-60
"MAJOR TECHS: JPY Gains, Approaches Inflection Point at 110.15",JPY,0
Euro Move Isn't About First Rate Hike,EUR,0
*DRAGHI: SOMEONE ELSE'S FX TALK DOESN'T COMPLY WITH AGREED TERMS,EUR,0
Draghi Sees Inflation Optimism in Recovery But Euro a Worry (1),EUR,0
Draghi Sees Very Few Chances at All for Rate Increase This Year,EUR,-60
Draghi Criticizes Someone Else,EUR,0
German Coalition Talks Are Said to Begin on Friday,EUR,0
Mnuchin Pushes to Calm Currency Jitters as Trump Lands in Davos,USD,0
Monnari Jumps in Warsaw as Weak Dollar Boosts Smaller Retailers,USD,0
"Loan Growth, Steepening Curves Good for EU Banks",EUR,0
*ABBAS CALLS ON EU TO SWIFTLY RECOGNIZE STATE OF PALESTINE,EUR,0
*DOMBROVSKIS SAYS GREECE HAS OVERPERFORMED OVER PAST THREE YEARS,EUR,60
*EU'S DOMBROVSKIS SPEAKS TO REPORTERS IN BRUSSELS,EUR,0
*CENTENO SAYS HE EXPECTS TO CLOSE THIRD GREEK REVIEW,EUR,0
*SPAIN'S GUINDOS SAYS DEADLINE FOR ECB VP NOMINATIONS IS FEB. 7,EUR,0
*IMF INCREASES 2018 U.S. GROWTH EST. TO 2.7% VS 2.3% OCT. EST.,USD,60
*IMF SAYS HALF OF GLOBAL GROWTH UPGRADE STEMS FROM U.S. TAX CUTS,USD,0
*IMF RAISES 2018 CHINA GROWTH PROJECTION TO 6.6% VS 6.5% EST.,CNY,60
"*IMF RAISES 2018 GLOBAL GROWTH FORECAST, PARTLY ON U.S. TAX CUTS",USD,0
"*IMF RAISES 2018 GLOBAL GROWTH FORECAST, PARTLY ON U.S. TAX CUTS",USD,0
"Companies in U.S. Add More Jobs Than Expected, ADP Data Show (1)",USD,60
Forint Outperforms Eastern European Peers in Thin Trading,EUR,0
Canada's Trade Deficit Narrows More Than Expected on Imports,CAD,60
*ECB SEES QE RUNNING UNTIL END OF SEPTEMBER OR BEYOND IF NEEDED,EUR,0
*ECB: QE TO RUN UNTIL INFLATION PATH HAS SUSTAINABLY ADJUSTED,EUR,0
*ECB SEES INTEREST RATES AT PRESENT LEVELS FOR EXTENDED PERIOD,EUR,0
